city,area_sqft,bedrooms,bathrooms,parking,building_age,near_metro,gym,pool,price
Mumbai,6438,5,1,0,20,0,0,1,118355085
Mumbai,3247,3,2,1,20,1,1,0,61390146
Mumbai,5177,6,1,0,4,0,0,1,96142558
Mumbai,4764,3,4,0,1,0,1,1,88946621
Pune,3633,2,4,0,18,1,0,1,38090666
Pune,3920,5,4,0,7,0,1,0,40453010
Hyderabad,1965,4,2,1,13,0,0,0,18898148
Chennai,4609,6,3,0,28,0,1,1,38414991
Mumbai,2711,6,2,0,5,1,0,0,53439464
Bangalore,6039,1,1,0,24,1,0,0,55350638
Pune,3304,4,1,0,6,1,0,1,34824820
Bangalore,6466,6,2,1,13,0,0,0,61229000
Bangalore,2043,6,2,0,5,0,1,0,22461972
Bangalore,2189,4,1,1,15,1,0,1,22983744
Hyderabad,2071,5,1,1,26,0,0,1,19926385
Pune,5647,3,1,0,29,1,0,0,55540606
Bangalore,6327,4,3,0,3,1,0,1,61019197
Mumbai,5041,3,3,0,6,1,1,0,94029767
Delhi,3779,5,2,0,15,0,0,0,51313182
Bangalore,4041,5,2,1,3,0,1,1,40607043
Hyderabad,5311,2,3,1,6,1,0,0,47085636
Pune,3523,1,4,0,20,1,0,0,35785108
Hyderabad,1318,5,3,0,1,1,1,0,16157710
Bangalore,6747,5,2,1,22,0,0,1,63171575
Pune,5021,3,3,1,7,1,0,0,51281317
Delhi,1624,5,4,0,9,1,0,0,25964650
Bangalore,6160,4,2,0,26,0,0,0,57027599
Hyderabad,5445,2,1,0,1,0,0,1,47134998
Chennai,6141,2,2,0,5,0,1,1,47999358
Mumbai,1629,4,3,0,3,1,0,1,33964401
Hyderabad,2202,6,3,0,20,0,0,0,21384093
Pune,2501,5,4,1,0,1,0,1,29351410
Bangalore,4378,1,3,1,5,1,1,1,42207104
Mumbai,4872,5,4,1,27,1,1,0,91897551
Bangalore,2306,2,2,1,11,0,1,1,23609004
Pune,3447,1,3,0,26,1,0,0,34315491
Bangalore,6831,6,2,0,13,0,0,0,64174375
Chennai,6535,3,1,1,14,0,0,0,51099788
Mumbai,3709,3,1,0,23,0,0,0,67872052
Mumbai,2652,5,4,0,17,1,0,0,51550898
Pune,5141,5,3,0,16,0,1,1,52645016
Chennai,4705,1,2,1,8,1,0,0,37461635
Hyderabad,1044,1,2,1,14,1,1,0,10044336
Bangalore,2901,6,3,1,17,0,1,0,30220886
Delhi,5338,5,2,1,23,1,1,0,73606723
Bangalore,2864,2,3,1,20,0,0,0,26931637
Bangalore,1789,3,3,1,17,0,0,0,18418992
Hyderabad,4265,6,1,1,4,0,1,0,38054057
Bangalore,2375,1,3,0,15,0,1,1,23064686
Chennai,5684,2,2,1,8,1,1,1,46208825
Chennai,4928,5,3,0,21,0,1,1,40587152
Mumbai,6132,4,1,0,2,1,1,0,113855363
Pune,5752,1,1,1,11,1,0,1,57006266
Delhi,5187,6,4,0,23,0,1,1,71337510
Bangalore,1282,4,2,0,13,1,1,0,14824334
Bangalore,1039,2,3,1,0,0,0,1,11562963
Hyderabad,3282,3,2,0,8,0,1,0,28849398
Pune,6154,2,2,1,8,0,1,0,60089610
Chennai,6115,3,3,0,19,1,1,0,48804818
Delhi,3168,2,1,0,12,0,1,0,42127379
Mumbai,5214,1,2,0,7,1,0,1,96780359
Chennai,4437,1,4,0,10,0,0,0,34167963
Pune,3456,6,2,1,29,1,1,1,36941437
Mumbai,4222,4,1,1,13,0,1,1,79047906
Hyderabad,4367,2,4,1,15,1,1,0,38995441
Hyderabad,2333,2,4,0,10,0,1,1,21599987
Bangalore,5587,4,4,0,18,1,0,0,54122374
Pune,2646,5,4,0,28,0,0,0,27554111
Delhi,6960,6,3,0,21,1,0,0,94582731
Mumbai,2670,2,3,1,9,0,1,1,51315858
Chennai,3891,6,3,0,25,1,0,0,32801979
Pune,2116,2,4,1,7,0,1,1,22614976
Pune,6114,2,1,0,10,0,1,1,59587589
Hyderabad,5117,5,2,0,24,0,0,0,44328422
Bangalore,1416,1,4,1,7,1,1,0,15134800
Bangalore,5312,6,1,1,24,1,0,1,51880585
Mumbai,6958,4,2,1,19,0,0,1,127881137
Hyderabad,3256,6,4,1,9,1,1,0,32111304
Pune,2436,5,2,0,16,0,0,0,25756763
Delhi,4542,3,3,1,22,0,1,0,60538491
Hyderabad,3591,3,3,1,10,0,1,0,31591452
Mumbai,5155,5,3,0,11,1,0,0,96681698
Mumbai,1468,5,1,0,9,0,0,1,29976339
Hyderabad,3864,1,3,0,19,1,0,1,34227385
Mumbai,3703,6,1,0,16,1,0,1,70928612
Hyderabad,6999,6,3,1,2,0,0,0,61235775
Chennai,5673,3,3,1,6,1,1,0,46194690
Hyderabad,1389,4,3,0,26,1,1,0,14843901
Hyderabad,1292,6,1,1,2,1,0,0,15162321
Mumbai,3958,2,2,1,16,0,0,1,73286750
Mumbai,6908,2,1,0,22,0,0,1,125288204
Bangalore,1481,1,4,1,7,1,1,1,16664472
Bangalore,4031,1,4,1,20,1,1,1,38564426
Chennai,4029,3,1,0,21,0,1,0,31303856
Bangalore,1301,4,1,1,29,0,0,1,13617692
Hyderabad,542,4,2,1,18,1,1,0,7979306
Mumbai,6205,5,1,0,13,0,0,1,114027092
Bangalore,3849,1,3,1,4,0,0,1,36597516
Bangalore,2277,6,2,0,18,1,0,0,24268338
Chennai,3701,2,1,0,12,0,1,0,28990914
Pune,849,6,1,0,17,1,1,0,11938057
Chennai,2067,2,4,0,29,1,0,0,17437380
Hyderabad,1629,3,2,0,22,1,0,1,15991794
Mumbai,3459,2,4,0,25,1,0,0,64168595
Chennai,4287,6,1,1,10,0,1,1,36401768
Bangalore,6644,6,2,0,22,0,1,1,63469238
Mumbai,2280,4,3,1,11,0,0,1,43634064
Mumbai,1083,4,1,0,7,0,0,1,21536440
Bangalore,5027,1,1,0,11,1,0,0,45822227
Chennai,3877,6,4,0,0,0,0,0,33631079
Bangalore,6528,3,3,1,17,1,1,1,62018121
Pune,6696,2,1,1,1,1,1,1,67444949
Mumbai,3901,1,4,0,11,1,1,0,72374330
Delhi,5944,5,4,1,18,0,0,0,80573712
Delhi,3685,5,1,0,22,1,1,1,51487483
Hyderabad,2694,2,2,0,6,1,1,1,25089134
Bangalore,6626,2,1,1,6,0,1,1,61258359
Bangalore,5785,2,3,0,0,1,0,0,55646615
Hyderabad,1662,4,1,0,17,0,1,0,15039806
Hyderabad,798,2,2,1,7,0,1,1,9308489
Hyderabad,3847,5,4,0,24,1,0,1,36018757
Mumbai,2439,2,3,0,9,1,0,1,46571641
Pune,1288,6,3,1,28,0,0,1,15349463
Bangalore,5445,3,3,1,22,0,0,1,50687751
Mumbai,6821,5,3,0,28,1,1,1,126080155
Hyderabad,3389,3,2,0,0,1,0,0,31274905
Bangalore,1877,5,2,1,14,1,1,0,20448410
Mumbai,5773,1,2,1,14,1,0,0,105770356
Pune,2449,6,2,0,27,1,0,0,26891353
Mumbai,3772,5,4,1,3,1,1,0,73795191
Pune,1377,6,1,1,9,1,0,1,17444040
Hyderabad,5734,5,2,1,7,1,0,0,51540456
Pune,4242,3,1,0,13,1,1,1,43521886
Bangalore,2077,3,3,0,12,1,1,0,21289867
Hyderabad,3639,5,4,0,20,0,0,1,32608336
Bangalore,2992,5,4,0,16,0,0,1,30547855
Delhi,3255,4,1,0,6,0,0,1,44926086
Chennai,6242,6,1,1,5,0,1,1,50451587
Pune,2403,6,1,1,8,1,1,0,27023093
Chennai,1882,6,4,1,19,0,0,0,17158147
Chennai,4740,6,2,0,19,1,1,0,39088673
Pune,2822,1,4,0,7,1,1,1,29421719
Hyderabad,3056,1,2,1,13,1,0,1,26807953
Delhi,5798,2,3,1,29,1,0,0,77301074
Bangalore,2361,5,2,1,19,1,0,1,25174758
Mumbai,6450,5,1,1,2,0,0,0,119622708
Bangalore,2366,5,2,0,22,0,1,1,23900898
Mumbai,4547,5,2,0,12,0,0,1,85504138
Bangalore,3675,6,4,1,20,1,0,1,38704948
Pune,1598,6,1,0,8,0,1,1,19428954
Delhi,5747,1,3,0,20,0,1,0,76052650
Mumbai,2234,3,2,0,8,1,1,1,43830042
Hyderabad,5163,4,3,0,21,1,1,0,45900886
Bangalore,6409,6,1,1,21,0,1,1,61659818
Bangalore,3916,6,2,1,10,1,1,0,40158500
Mumbai,5126,6,4,0,5,1,1,0,98190740
Hyderabad,6802,3,3,1,22,0,0,0,57654136
Hyderabad,6157,3,4,0,11,0,0,1,53831064
Pune,1180,1,3,1,26,1,1,0,13187773
Pune,2570,6,1,1,3,1,0,0,28429631
Pune,5666,4,2,1,3,0,1,1,56790115
Pune,5324,5,3,1,24,0,0,0,52757118
Pune,2229,6,4,1,27,0,1,1,24960371
Pune,2691,1,3,1,22,1,1,0,27399623
Delhi,1167,1,3,1,26,0,1,0,16109656
Hyderabad,2112,4,3,0,25,0,1,0,20037322
Pune,1180,2,3,1,21,0,1,1,13401765
Hyderabad,1472,1,3,0,16,1,1,0,14220071
Hyderabad,3346,3,3,1,6,1,0,0,30765925
Chennai,2632,3,4,1,5,0,0,1,23122575
Delhi,2963,5,3,1,27,1,0,1,42116213
Pune,3029,1,3,0,19,0,0,1,29824284
Bangalore,3003,5,3,0,28,0,0,1,30331948
Mumbai,5422,1,2,0,7,0,0,1,98644120
Bangalore,4892,4,1,0,6,1,1,1,47788258
Delhi,3683,6,1,0,7,0,1,1,51473863
Mumbai,4533,1,1,1,8,1,0,0,82716388
Delhi,5849,2,4,0,0,1,1,0,79083309
Hyderabad,3667,3,4,0,2,0,0,0,32401259
Mumbai,3497,4,4,0,17,1,0,1,66281521
Hyderabad,3727,6,3,1,18,0,1,0,34409884
Bangalore,2652,6,1,1,26,0,1,1,27206063
Bangalore,2228,3,3,1,10,0,0,0,22896457
Mumbai,2524,6,2,0,15,0,1,0,49025088
Mumbai,829,5,1,1,17,1,1,1,18341943
Pune,2986,4,2,0,26,0,0,0,29071572
Delhi,1655,2,2,1,5,0,0,1,23046443
Pune,2390,3,3,1,24,0,0,0,24660472
Delhi,4977,1,1,1,1,0,0,1,66604809
Pune,2685,1,2,1,3,1,1,1,28263360
Hyderabad,5438,1,1,1,4,1,0,1,46347179
Mumbai,2817,4,2,0,20,0,1,1,52819354
Bangalore,4121,2,2,0,13,1,1,0,39228913
Delhi,4991,6,3,1,0,0,0,1,70103958
Delhi,3011,2,1,0,28,0,1,0,40097693
Bangalore,949,2,3,1,21,0,0,0,9845210
Pune,1854,3,3,1,13,1,1,0,21505794
Delhi,6582,4,3,1,20,0,1,1,88745129
Hyderabad,5904,1,3,1,12,1,1,1,50795620
Mumbai,5893,3,3,1,21,1,0,1,109782583
Bangalore,6663,6,2,1,15,0,1,1,63389449
Mumbai,6882,2,1,1,29,1,0,0,124325864
Delhi,1793,1,1,0,3,0,1,1,24555993
Delhi,2965,4,3,0,28,1,0,1,41613117
Bangalore,3602,5,1,1,26,1,1,0,34929233
Hyderabad,2349,2,2,0,5,1,1,0,22465617
Chennai,3675,2,3,1,8,1,1,1,31809402
Bangalore,4781,2,4,0,0,0,0,0,46052203
Chennai,3699,2,4,0,21,0,1,1,29850475
Pune,1733,1,2,1,16,0,0,1,17729038
Chennai,1937,4,2,1,27,0,1,0,16420420
Hyderabad,3852,3,4,0,22,0,0,1,33372035
Pune,4530,1,3,1,3,0,1,0,44970727
Chennai,752,4,2,0,5,0,1,0,8178752
Pune,518,3,4,1,15,1,1,0,8067489
Chennai,3259,2,3,0,6,1,0,1,27604163
Hyderabad,5755,4,2,0,28,0,0,1,49230796
Chennai,722,2,1,0,26,0,1,1,5801586
Chennai,502,4,1,1,4,1,0,0,7672615
Chennai,1759,6,1,0,8,1,0,1,17750664
Bangalore,5449,5,3,1,23,0,1,1,52813660
Bangalore,6084,2,2,1,18,0,1,0,56049634
Bangalore,4823,2,4,1,0,1,1,0,47678061
Hyderabad,6273,2,2,1,26,1,1,0,53163714
Pune,5094,6,1,1,29,1,0,1,52246427
Delhi,3068,1,1,0,25,1,0,0,40894185
Chennai,2385,3,3,1,7,1,1,0,21694913
Chennai,6611,2,4,1,19,0,0,0,51311072
Hyderabad,5758,2,3,0,22,1,0,1,49857485
Chennai,1799,1,4,0,3,0,0,1,15242238
Bangalore,2838,1,2,1,22,1,1,0,27491656
Delhi,1576,5,3,1,29,0,1,0,22579767
Mumbai,4258,4,3,1,16,0,1,1,79592020
Chennai,3681,2,3,0,0,0,1,1,30766430
Bangalore,5310,4,1,1,1,0,1,1,50642351
Mumbai,1447,1,1,1,20,0,0,0,25834883
Delhi,4238,1,4,0,26,1,1,1,56758036
Mumbai,3231,5,2,0,13,0,1,0,60644396
Bangalore,4507,3,3,0,25,1,0,1,43351459
Pune,1369,6,1,1,21,0,1,1,15802831
Pune,5666,6,3,1,1,1,0,0,59501023
Mumbai,593,6,4,1,0,0,0,1,16167284
Hyderabad,3487,1,4,0,24,0,1,0,29989750
Mumbai,5155,2,2,0,12,1,0,1,95235002
Chennai,2275,5,4,1,22,1,0,0,21457745
Chennai,2760,3,3,0,7,1,0,1,24761531
Pune,935,6,2,0,29,1,1,0,12032853
Hyderabad,5447,5,2,0,21,1,0,0,47488451
Bangalore,4800,1,1,0,28,0,0,0,42230780
Chennai,3644,6,3,1,8,0,0,0,31902617
Pune,4087,3,4,1,23,0,0,0,40570122
Delhi,5695,4,1,0,19,1,0,0,76683189
Pune,576,3,3,0,20,0,1,1,7689041
Chennai,1315,2,3,0,1,1,0,1,12752702
Chennai,1267,6,2,0,16,0,0,0,12709449
Pune,4185,6,2,0,29,1,1,0,43317931
Bangalore,605,4,3,1,5,1,0,1,9445585
Mumbai,4416,4,1,0,2,0,0,0,81326342
Chennai,3373,6,2,1,26,1,0,1,29236027
Pune,3846,2,2,1,19,0,1,1,38375483
Pune,6731,4,3,0,29,0,1,0,65249950
Hyderabad,6342,1,3,1,16,1,1,0,54448943
Mumbai,3648,6,2,0,5,0,0,0,68507702
Delhi,3648,3,1,0,7,1,0,0,50167194
Bangalore,1965,3,2,0,13,1,1,1,21320340
Delhi,3087,2,3,1,9,0,1,1,42189059
Mumbai,744,1,2,1,19,1,1,0,15069358
Mumbai,3125,4,3,1,9,1,1,0,60703834
Mumbai,4349,6,2,0,14,0,1,1,82698064
Delhi,1905,3,3,1,7,1,0,0,28181018
Mumbai,1481,3,3,1,10,1,0,1,30647297
Pune,6332,3,1,1,15,1,0,0,62791447
Delhi,4308,3,3,0,25,1,0,1,58975788
Mumbai,641,5,2,1,2,0,0,1,15203989
Pune,1392,2,3,0,14,0,0,1,14416642
Hyderabad,5987,4,4,1,12,0,0,1,52367260
Mumbai,2899,6,2,1,10,0,0,0,55252934
Delhi,5140,6,1,1,13,0,0,0,70158532
Chennai,3460,6,2,0,6,0,1,1,29504310
Mumbai,2699,4,1,0,18,1,0,1,52012489
Chennai,1969,2,4,1,14,1,0,1,18540143
Pune,3200,1,1,1,5,1,0,0,31458303
Hyderabad,3505,2,3,0,19,1,1,0,30486209
Bangalore,5358,3,4,0,21,1,1,0,51208109
Hyderabad,3874,3,4,1,6,0,0,0,34248661
Mumbai,5219,2,1,1,23,0,0,0,94073288
Chennai,1155,2,2,0,13,1,0,1,11264951
Chennai,3268,4,1,1,21,0,0,0,26617945
Delhi,5843,4,1,0,3,0,1,0,78053811
Chennai,542,5,4,1,8,0,1,0,7779398
Delhi,2811,6,3,1,6,0,0,0,40053243
Pune,5622,5,2,1,24,0,1,1,56242434
Bangalore,2160,6,1,1,14,1,1,1,23511803
Mumbai,5887,3,3,0,2,1,1,1,110670060
Delhi,5191,5,3,1,4,0,1,0,71762391
Bangalore,5608,5,2,1,16,0,0,1,53775703
Chennai,2724,1,3,1,26,0,1,1,22337838
Chennai,2610,2,1,1,27,1,1,0,20382280
Bangalore,1457,4,4,1,23,0,0,1,15488276
Chennai,1060,5,3,1,0,0,0,0,11800139
Pune,1830,4,4,0,0,0,0,1,21945718
Pune,1812,6,2,1,29,0,0,0,20045867
Bangalore,2321,5,2,0,15,1,1,1,25350416
Delhi,3502,6,3,0,22,1,0,1,50534772
Delhi,3903,5,4,0,13,0,1,0,54025940
Bangalore,6146,3,1,0,10,1,0,1,57517963
Delhi,5445,1,4,1,13,0,1,0,72872941
Delhi,5874,6,3,1,7,1,0,1,82072082
Pune,3151,2,4,1,18,0,0,0,31699404
Delhi,6129,2,4,0,1,1,1,1,84389537
Hyderabad,2314,3,2,1,22,0,0,1,21274860
Mumbai,2241,3,3,0,9,0,0,1,43602892
Chennai,5201,2,4,0,4,0,0,0,41061821
Hyderabad,4308,6,3,1,14,0,0,0,39147040
Delhi,3377,2,1,0,0,1,0,0,46316619
Pune,6082,1,3,0,1,1,0,1,60099298
Bangalore,3770,5,1,0,18,1,0,0,36239493
Delhi,5890,1,3,0,21,1,0,0,78011022
Pune,4583,2,3,1,29,0,0,1,44952118
Mumbai,1245,5,4,0,16,1,0,0,26423887
Delhi,1057,2,4,0,14,1,1,0,17222657
Bangalore,6707,1,1,0,23,1,1,0,61239488
Pune,3801,1,1,1,17,1,1,1,37567524
Pune,1441,6,2,1,20,0,1,0,16365833
Pune,4523,6,4,0,7,0,0,0,46864254
Mumbai,2796,1,1,1,28,1,1,0,51143591
Delhi,5865,5,4,1,20,1,0,1,81168786
Mumbai,1439,6,3,1,28,0,0,0,28856901
Chennai,2110,6,2,1,13,0,1,1,19523989
Chennai,6800,4,4,0,7,1,0,0,55581481
Delhi,2225,4,4,0,29,1,1,1,32366393
Mumbai,1484,6,4,1,21,1,1,0,31617841
Bangalore,2087,2,4,1,22,1,1,0,21363617
Pune,4521,5,1,1,7,0,1,1,46067766
Pune,1836,3,1,1,18,0,0,1,18848863
Delhi,6470,6,2,1,12,0,1,0,87848608
Chennai,3637,4,3,1,27,0,1,0,30018281
Chennai,1161,5,3,1,29,0,0,0,10543091
Pune,532,5,2,0,4,0,1,0,8489116
Delhi,6412,4,3,0,9,1,0,0,86886324
Mumbai,6716,5,1,1,6,0,1,0,123956487
Chennai,6485,5,4,1,8,1,1,1,54750076
Mumbai,3914,4,3,0,13,0,0,1,73030364
Chennai,1656,1,4,0,5,1,0,1,15628829
Chennai,3626,6,4,1,9,0,0,1,31896157
Hyderabad,560,2,1,0,0,0,1,0,6765183
Chennai,4428,3,4,0,10,1,1,1,37148767
Bangalore,2043,2,3,1,7,1,1,1,21905396
Delhi,771,1,1,0,5,1,0,1,11603023
Delhi,6889,1,2,1,16,1,0,1,91587024
Mumbai,5795,5,1,0,3,0,1,0,107792424
Chennai,4576,2,3,1,5,0,0,1,37539102
Bangalore,3888,1,1,0,28,0,1,1,35258788
Mumbai,6402,2,3,0,14,0,1,0,116849932
Hyderabad,3252,1,3,1,9,0,0,0,28448763
Mumbai,3209,3,1,0,16,1,0,1,60273798
Mumbai,1654,1,3,0,9,0,1,1,31656779
Chennai,5721,2,2,1,4,0,0,1,45586639
